bar,beat,time_s,frame
138,1,233.191,5598
138,2,233.617,5608
138,3,234.043,5618
138,4,234.468,5628
139,1,234.894,5638
139,2,235.319,5649
139,3,235.745,5659
139,4,236.17,5669
140,1,236.596,5679
140,2,237.021,5690
140,3,237.447,5700
140,4,237.872,5710
141,1,238.298,5720
141,2,238.723,5730
141,3,239.149,5741
141,4,239.574,5751
142,1,240.0,5761
142,2,240.426,5771
142,3,240.851,5781
142,4,241.277,5792
143,1,241.702,5802
143,2,242.128,5812
143,3,242.553,5822
143,4,242.979,5832
144,1,243.404,5843
144,2,243.83,5853
144,3,244.255,5863
144,4,244.681,5873
145,1,245.106,5884
145,2,245.532,5894
145,3,245.957,5904
145,4,246.383,5914
146,1,246.809,5924
146,2,247.234,5935
146,3,247.66,5945
146,4,248.085,5955
147,1,248.511,5965
147,2,248.936,5975
147,3,249.362,5986
147,4,249.787,5996
148,1,250.213,6006
148,2,250.638,6016
148,3,251.064,6027
148,4,251.489,6037
149,1,251.915,6047
149,2,252.34,6057
149,3,252.766,6067
149,4,253.191,6078
150,1,253.617,6088
150,2,254.043,6098
150,3,254.468,6108
150,4,254.894,6118
